FY,Tax_Levy,Tax_Rate,Total_FTE,Education_FTE,Population,School_Enrollment,Group_Insurance,Pension_Expenditure,OPEB_Active,OPEB_Retired,GIC_Premium_Family_Annual,PERAC_Active,PERAC_Avg_Salary
2001,30241152,,599.6,400.1,20035,2792,,5074648,,,,,
2002,33402444,,614.8,414.3,20254,2875,,5080649,,,,,
2003,34497302,8.42,625.45,424.2,20158,2970,,5571615,,,,,
2004,37870060,8.48,624.25,426.0,20461,3003,,6137142,,,,,
2005,39870372,8.26,642.9,448.4,21360,3067,,6533588,,,,,
2006,44199627,8.43,654.57,466.32,20482,3133,7964196,6728821,,,,,
2007,45347717,7.76,667.12,474.67,20384,3242,8499096,7101736,,,,,
2008,46775321,8.34,672.99,479.79,20039,3212,9331501,7252902,,,,,
2009,48097849,8.99,679.86,488.11,20449,3262,10717120,7771803,,,,,
2010,50236558,9.57,682.24,487.71,20377,3232,10062084,8117079,,,,,
2011,51376323,10.21,682.62,488.01,19808,3206,10516964,8333338,700,,,,
2012,53651430,10.52,674.86,480.0,19808,3172,11739905,8758191,642,700,,,
2013,54785294,10.85,686.1,490.0,19808,3269,10822087,8886922,748,539,,,
2014,56761148,11.09,687.11,492.0,20187,3327,11581448,9231574,,,,,
2015,59015212,11.08,686.6,489.8,20454,3245,12110711,6171613,663,538,,,
2016,61337920,11.1,674.67,489.17,20517,3208,12663401,8420207,,,,,
2017,63948938,11.01,675.65,493.17,20493,3264,13056765,10955785,717,537,,,
2018,66315447,11.02,691.32,504.2,20517,3185,13116584,11827291,,,,,
2019,67829212,10.74,671.1,483.9,19752,3051,13476211,12051455,,,24107,,
2020,69813033,10.39,667.71,480.3,19789,2963,,14608035,720,476,26045,,
2021,72154578,10.42,666.72,483.87,20500,2703,13812644,16031873,,,,,
2022,76282235,10.52,668.5,482.69,20233,2602,14475406,10372915,663,515,,378,58906
2023,79085270,10.0,709.0,537.0,20441,2622,15244117,11355953,,,28251,,
2024,82171513,8.96,706.0,537.0,20576,2617,13916513,12491338,695,731,31530,358,65815
2025,,9.05,,,,,13698018,,,,33687,,
2026,,8.56,,,,,15100893,,,,38562,,
2027,,,,,,,16754748,,,,,,
