FY,General_Govt,Public_Safety,Education,Public_Works,Health_Human_Svcs,Culture_Rec,Total
2015,22.03,98.29,489.8,36.06,9.64,30.78,686.6
2016,21.55,95.54,489.17,34.37,8.4,25.64,674.67
2017,21.5,90.98,493.17,33.4,9.35,27.25,675.65
2018,21.98,92.88,504.2,36.51,9.54,26.21,691.32
2019,22.03,94.44,483.9,33.96,11.16,25.61,671.1
2020,21.51,95.1,480.3,34.64,11.08,25.08,667.71
2021,19.37,94.22,483.87,33.52,10.52,25.22,666.72
2022,20.97,94.58,482.69,34.04,10.92,25.3,668.5
2023,19.0,91.0,537.0,30.0,8.0,24.0,709.0
2024,21.0,84.0,537.0,31.0,9.0,24.0,706.0
